LotArea,LotFrontage,MSSubClass,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,BedroomAbvGr,FullBath,TotRmsAbvGrd,GarageArea,ExterQual,ExterCond,BsmtQual,BsmtCond,GarageQual,GarageCond,HeatingQC,KitchenQual,SalePrice
8450.0,65.0,60.0,7.0,5.0,2003.0,856.0,1710.0,3.0,2,8.0,548.0,2,1,2,1,1,1,3,2,208500
9600.0,80.0,20.0,6.0,7.5,1976.0,1262.0,1262.0,3.0,2,6.0,460.0,1,1,2,1,1,1,3,1,181500
11250.0,68.0,60.0,7.0,5.0,2001.0,920.0,1786.0,3.0,2,6.0,608.0,2,1,2,1,1,1,3,2,223500
9550.0,60.0,70.0,7.0,5.0,1915.0,756.0,1717.0,3.0,1,7.0,642.0,1,1,1,2,1,1,2,2,140000
14260.0,84.0,60.0,8.0,5.0,2000.0,1145.0,2198.0,4.0,2,9.0,836.0,2,1,2,1,1,1,3,2,250000
14115.0,85.0,50.0,5.0,5.0,1993.0,796.0,1362.0,1.0,1,5.0,480.0,1,1,2,1,1,1,3,1,143000
10084.0,75.0,20.0,8.0,5.0,2004.0,1686.0,1694.0,3.0,2,7.0,636.0,2,1,3,1,1,1,3,2,307000
10382.0,0.0,60.0,7.0,6.0,1973.0,1107.0,2090.0,3.0,2,7.0,484.0,1,1,2,1,1,1,3,1,200000
6120.0,51.0,50.0,7.0,5.0,1931.0,952.0,1774.0,2.0,2,8.0,468.0,1,1,1,1,0,1,2,1,129900
7420.0,50.0,145.0,5.0,6.0,1939.0,991.0,1077.0,2.0,1,5.0,205.0,1,1,1,1,2,1,3,1,118000
11200.0,70.0,20.0,5.0,5.0,1965.0,1040.0,1040.0,3.0,1,5.0,384.0,1,1,1,1,1,1,3,1,129500
11924.0,85.0,60.0,9.0,5.0,2005.0,1175.0,2324.0,4.0,3,10.0,736.0,3,1,3,1,1,1,3,3,345000
12968.0,0.0,20.0,5.0,6.0,1962.0,912.0,912.0,2.0,1,4.0,352.0,1,1,1,1,1,1,1,1,144000
10652.0,91.0,20.0,7.0,5.0,2006.0,1494.0,1494.0,3.0,2,7.0,840.0,2,1,2,1,1,1,3,2,279500
10920.0,0.0,20.0,6.0,5.0,1960.0,1253.0,1253.0,2.0,1,5.0,352.0,1,1,1,1,1,1,1,1,157000
6120.0,51.0,45.0,7.0,7.5,1929.0,832.0,854.0,2.0,1,5.0,576.0,1,1,1,1,1,1,3,1,132000
11241.0,0.0,20.0,6.0,7.0,1970.0,1004.0,1004.0,2.0,1,5.0,480.0,1,1,1,1,1,1,3,1,149000
10791.0,72.0,90.0,4.0,5.0,1967.0,42.0,1296.0,2.0,2,6.0,516.0,1,1,-2,-2,1,1,1,1,90000
13695.0,66.0,20.0,5.0,5.0,2004.0,1114.0,1114.0,3.0,1,6.0,576.0,1,1,1,1,1,1,3,2,159000
7560.0,70.0,20.0,5.0,6.0,1958.0,1029.0,1339.0,3.0,1,6.0,294.0,1,1,1,1,1,1,1,1,139000
14215.0,101.0,60.0,8.0,5.0,2005.0,1158.0,2376.0,4.0,3,9.0,853.0,2,1,3,1,1,1,3,2,325300
7449.0,57.0,45.0,7.0,7.0,1930.0,637.0,1108.0,3.0,1,6.0,280.0,1,1,1,1,1,1,3,2,139400
9742.0,75.0,20.0,8.0,5.0,2002.0,1777.0,1795.0,3.0,2,7.0,534.0,2,1,2,1,1,1,3,2,230000
4224.0,44.0,120.0,5.0,7.0,1976.0,1040.0,1060.0,3.0,1,6.0,572.0,1,1,2,1,1,1,1,1,129900
8246.0,0.0,20.0,5.0,7.5,1968.0,1060.0,1060.0,3.0,1,6.0,270.0,1,2,1,1,1,1,3,2,154000
14230.0,110.0,20.0,8.0,5.0,2007.0,1566.0,1600.0,3.0,2,7.0,890.0,2,1,2,1,1,1,3,2,256300
7200.0,60.0,20.0,5.0,7.0,1951.0,900.0,900.0,3.0,1,5.0,576.0,1,1,1,1,1,1,1,2,134800
11478.0,98.0,20.0,8.0,5.0,2007.0,1704.0,1704.0,3.0,2,7.0,772.0,2,1,3,1,1,1,3,2,306000
16321.0,47.0,20.0,5.0,6.0,1957.0,1484.0,1600.0,2.0,1,6.0,319.0,1,1,1,1,1,1,1,1,207500
6324.0,60.0,30.0,4.0,6.0,1927.0,520.0,520.0,1.0,1,4.0,240.0,1,1,1,1,0,1,0,0,68500
8500.0,50.0,70.0,4.0,4.0,1920.0,649.0,1317.0,3.0,1,6.0,250.0,1,0,1,1,1,0,1,1,40000
8544.0,0.0,20.0,5.0,6.0,1966.0,1228.0,1228.0,3.0,1,6.0,271.0,1,1,1,1,1,1,2,2,149350
11049.0,85.0,20.0,8.0,5.0,2007.0,1234.0,1234.0,3.0,2,7.0,484.0,2,1,3,1,1,1,3,2,179900
10552.0,70.0,20.0,5.0,5.0,1959.0,1398.0,1700.0,4.0,1,6.0,447.0,1,1,1,1,1,1,2,2,165500
7313.0,60.0,120.0,9.0,5.0,2005.0,1561.0,1561.0,2.0,2,6.0,556.0,3,1,3,1,1,1,3,3,277500
13418.0,108.0,60.0,8.0,5.0,2004.0,1117.0,2452.0,4.0,3,9.0,691.0,2,1,3,1,1,1,3,2,309000
10859.0,112.0,20.0,5.0,5.0,1994.0,1097.0,1097.0,3.0,1,6.0,672.0,1,1,2,1,1,1,3,1,145000
8532.0,74.0,20.0,5.0,6.0,1954.0,1297.0,1297.0,3.0,1,5.0,498.0,1,1,1,1,1,1,2,1,153000
7922.0,68.0,20.0,5.0,7.0,1953.0,1057.0,1057.0,3.0,1,5.0,246.0,1,2,1,1,1,1,1,2,109000
6040.0,65.0,90.0,4.0,5.0,1955.0,42.0,1152.0,2.0,2,6.0,0.0,1,1,-2,-2,-2,-2,1,0,82000
8658.0,84.0,20.0,6.0,5.0,1965.0,1088.0,1324.0,3.0,2,6.0,440.0,1,1,1,1,1,1,3,1,160000
16905.0,115.0,20.0,5.0,6.0,1959.0,1350.0,1328.0,2.0,1,5.0,308.0,1,2,1,1,1,1,2,1,170000
9180.0,0.0,85.0,5.0,7.0,1983.0,840.0,884.0,2.0,1,5.0,504.0,1,1,2,1,1,2,2,2,144000
9200.0,0.0,20.0,5.0,6.0,1975.0,938.0,938.0,3.0,1,5.0,308.0,1,1,2,1,1,1,1,1,130250
7945.0,70.0,20.0,5.0,6.0,1959.0,1150.0,1150.0,3.0,1,6.0,300.0,1,1,1,1,1,1,3,1,141000
7658.0,61.0,120.0,9.0,5.0,2005.0,1752.0,1752.0,2.0,2,6.0,576.0,3,1,3,1,1,1,3,3,319900
12822.0,48.0,50.0,7.0,5.0,2003.0,1434.0,2149.0,1.0,1,6.0,670.0,2,1,3,1,1,1,3,2,239686
11096.0,84.0,20.0,8.0,5.0,2006.0,1656.0,1656.0,3.0,2,7.0,826.0,2,1,2,1,1,1,3,2,249700
4456.0,33.0,145.0,4.0,5.0,1920.0,736.0,1452.0,2.0,2,8.0,0.0,1,1,1,1,-2,-2,2,1,113000
7742.0,66.0,20.0,5.0,7.0,1966.0,955.0,955.0,3.0,1,6.0,386.0,1,1,1,1,1,1,3,1,127000
13869.0,0.0,60.0,6.0,6.0,1997.0,794.0,1470.0,3.0,2,6.0,388.0,1,1,2,1,1,1,2,1,177000
6240.0,52.0,50.0,6.0,6.0,1934.0,816.0,1176.0,3.0,1,6.0,528.0,1,1,1,1,1,1,1,1,114500
8472.0,110.0,90.0,5.0,5.0,1963.0,816.0,816.0,2.0,1,5.0,516.0,0,1,2,1,1,1,1,1,110000
17673.5,68.0,20.0,9.0,5.0,1981.0,1842.0,1842.0,0.5,0,5.0,894.0,2,1,3,1,1,1,2,2,385000
7134.0,60.0,80.0,5.0,5.0,1955.0,384.0,1360.0,3.0,1,6.0,572.0,1,1,1,1,1,1,1,1,130000
10175.0,100.0,20.0,6.0,5.0,1964.0,1425.0,1425.0,3.0,2,7.0,576.0,1,1,1,1,1,1,2,1,180500
2645.0,24.0,145.0,8.0,5.0,1999.0,970.0,1739.0,3.0,2,7.0,480.0,2,1,2,1,1,1,3,2,172500
11645.0,89.0,60.0,7.0,5.0,2004.0,860.0,1720.0,3.0,2,7.0,565.0,2,1,2,1,1,1,3,2,196500
13682.0,66.0,60.0,10.0,5.0,2006.0,1410.0,2747.625,3.0,3,10.0,641.0,3,1,3,1,1,1,3,2,438780
7200.0,60.0,20.0,5.0,7.0,1972.0,780.0,780.0,2.0,1,4.0,352.0,1,1,1,1,1,1,3,1,124900
13072.0,63.0,20.0,6.0,5.0,2004.0,1158.0,1158.0,3.0,1,5.0,576.0,1,1,2,1,1,1,3,2,158000
7200.0,60.0,75.0,5.0,7.0,1920.0,530.0,1111.0,3.0,1,6.0,288.0,1,1,1,0,1,1,1,0,101000
6442.0,44.0,120.0,8.0,5.0,2006.0,1370.0,1370.0,2.0,2,6.0,484.0,2,1,2,2,1,1,3,2,202500
10300.0,50.0,70.0,7.0,6.0,1921.0,576.0,1710.0,3.0,2,9.0,480.0,1,1,1,1,1,1,2,1,140000
